number,value,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_best_iteration
30,0.052437223042836045,0.6889524317508573,0.07387321018510627,181,5,36,0.2713474358420164,27,0.24172423293600256,0.013823350989381146,1.7647311762982048,0.9549974432965042,18
31,0.051412020275162895,0.6599104014816989,0.06919722410633218,90,5,55,0.24087642448890012,20,0.010860832152615164,0.023724089431067075,2.94621237388514,0.9977777681396215,5
32,0.05193855157278715,0.6377739022043656,0.06009744089288251,77,5,48,0.2298305025750424,17,0.030672230297825738,0.0217385376474999,2.6618450211076397,0.9874884926956705,7
33,0.053343350864011985,0.8160377604636654,0.0632996160492303,89,6,20,0.1947923979588538,20,0.01508264226349228,0.007908368405650805,3.1685276721731594,0.9825531824462758,1
34,0.054826254826254806,0.6830721944894581,0.055542843182762376,63,4,60,0.21412934625716099,21,0.0059306394611590135,0.0311903988816591,2.349552363221139,0.9611520634127615,30
35,0.05190058479532167,0.7268706772489626,0.06996012643336404,115,5,37,0.26342946736805317,24,0.06737907467710616,0.01077990822258444,1.7811330271258665,0.877523166036087,31
36,0.05205278592375362,0.8191656603377422,0.04608376887593566,161,4,55,0.17720052911437617,16,0.02427169826321189,0.07217234760659631,2.514869607590245,0.9227775376684193,1
37,0.052090975788701366,0.862845148948694,0.020715536679952417,98,3,66,0.2556444767102112,26,0.0024840241136048274,0.003202398625401225,3.1640364181514222,0.9945118869823649,47
38,0.0657084188911704,0.6107314576434889,0.062317753142557615,135,6,43,0.23077839008366596,18,0.038304444966487335,0.005303099337383635,3.8783855200176176,0.850613817369306,42
39,0.052321296978629306,0.6179816804653805,0.06123936671096221,170,7,43,0.2036881874080273,12,0.24066332068538235,0.004702186060271055,3.9837264973986164,0.8605262439305382,3
40,0.051862673484295074,0.6359296314771452,0.05344556445688248,134,6,26,0.2834068487554857,18,0.0349683068249673,0.0019896702686599847,5.49505708295669,0.8322885843964101,3
41,0.05306427503736921,0.672693879759722,0.07278437429534852,154,6,47,0.22285683657428165,16,0.016555275326170585,0.017467208277462714,1.5723473497257017,0.7843653611128061,14
42,0.06653426017874875,0.6127502773112292,0.06651109268931936,75,5,38,0.23279432277540577,20,0.008552636544926722,0.009576667453189896,4.367979060852248,0.9543192787411104,15
43,0.05395136778115506,0.6069243095535838,0.04482258591599966,76,7,36,0.22545841714757406,18,0.006747985158525354,0.009911143964670296,4.537565484338458,0.900998802436,9
44,0.05564263322884011,0.6454947885636078,0.06372249121945499,194,5,39,0.18273549486721463,22,0.06250275638470269,0.0066247500267024384,3.7770916231825353,0.9505136768130874,14
45,0.06227106227106227,0.6218275085447185,0.050933956491106186,132,6,32,0.20650573994461136,24,0.0028281282853202827,0.004173414133372639,4.328073392907776,0.9722029919532794,39
46,0.050641940085591974,0.6193195716206026,0.03509917482728485,153,5,41,0.2314448762244905,21,0.021926787047117768,0.013158060470004814,5.526542920814982,0.8406006038305431,3
47,0.05071428571428571,0.6035385887784728,0.05568342469674633,101,4,28,0.10255493908852133,28,0.0883283055915136,0.0024278865762863183,4.793591584601451,0.8059986339450879,3
48,0.050426136363636354,0.6468393333295744,0.07186264928176063,73,3,61,0.18946547015425003,12,0.008678841376240682,0.005859865726703233,5.99554187982557,0.9248260813407424,12
49,0.052437223042836045,0.8622294786429113,0.05878047796926402,170,4,34,0.16062599189097382,15,0.004118107856894094,0.00806083409880647,3.7113625138639876,0.9110968091001344,2
50,0.0680628272251309,0.776813283374943,0.036941252555347505,254,6,45,0.21092917548517917,19,0.03232189268074098,0.0014551607255662432,5.179515189738289,0.7725708044938654,62
51,0.05259026687598112,0.7770788902265157,0.03540396742578232,255,6,41,0.21124123303920608,19,0.03834485620827628,0.0014250851613605334,5.212032573189523,0.7824279474671009,30
52,0.0562448304383788,0.7203545996880399,0.0381541435436083,115,7,52,0.22122101310037692,21,0.01954509213802041,0.0010054868922975402,5.316403444970685,0.8563238941998385,43
53,0.05205278592375362,0.6251257735932415,0.03178213944843938,229,6,46,0.2587834776705745,17,0.02988960563970002,0.0015350293989575524,5.757318962306712,0.8203664880516797,3
54,0.06089438629876309,0.8943426052704803,0.028449955327844924,124,5,107,0.28095819249103515,23,0.052471230913782155,0.0027851394345630776,4.787715523967255,0.7682238277205525,71
55,0.05374716124148371,0.8345290336593684,0.04343180548819664,237,6,30,0.17278149057908093,31,0.19244367248542468,0.0036353892048725297,4.115807220629424,0.701279694579051,4
56,0.05182481751824819,0.9410726995917352,0.038006549404400354,243,5,38,0.1429831926924484,17,0.09226318194074054,0.03325499378513526,4.560187000603938,0.7475873942879437,2
57,0.05286671630677586,0.6006033692652977,0.07667669641132134,189,7,24,0.2407918089593675,25,0.008408681531515772,0.0055960619517576625,5.023581029953235,0.9672853246591039,5
58,0.051673944687045115,0.691822505891531,0.06546857507832719,211,4,50,0.020123848198140254,19,0.4802111753472643,0.4330713030459027,4.376036760394758,0.8715732582053889,9
59,0.05182481751824819,0.6522639760653112,0.0334374999480339,153,5,57,0.1894002319020756,28,0.051777763360026346,0.00911053138966095,1.1805599059579328,0.9386818636429572,57
