threshold_name,threshold,auc_roc,avg_precision_pr_auc,f1_score,precision,fraud_recall,fraud_detected_TP,fraud_missed_FN,false_positives_FP,true_negatives_TN,fp_per_detected_fraud,fp_ratio_alerts,alerts_total_TP_FP
threshold_0_50,0.5,0.8553279842342342,0.49848317078414506,0.3916083916083916,0.29473684210526313,0.5833333333333334,28,20,67,821,2.392857142857143,0.7052631578947368,95
best_f1_val,0.583742864980993,0.8553279842342342,0.49848317078414506,0.5348837209302325,0.6052631578947368,0.4791666666666667,23,25,15,873,0.6521739130434783,0.39473684210526316,38
recall_90_val,0.43564890919605254,0.8553279842342342,0.49848317078414506,0.2525597269624573,0.1510204081632653,0.7708333333333334,37,11,208,680,5.621621621621622,0.8489795918367347,245
